model,term,beta,SE,OR,lower95_model_based,upper95_model_based,p_model_based,N,AIC,deviance
Model 2: + rainy-season source,C(region_n)[T.Bakool],1.0771718397010457,0.2433737003659295,2.9363632906679307,1.8224092455562466,4.731225654065682,9.599681251190919e-06,7212,4124.680699079291,4062.680699079291
Model 2: + rainy-season source,C(region_n)[T.Banadir],-2.2360099523906993,0.4492660594215099,0.10688412744360938,0.04430882424593346,0.2578316372371405,6.456783964707563e-07,7212,4124.680699079291,4062.680699079291
Model 2: + rainy-season source,C(region_n)[T.Bari],0.2801405801989426,0.23802674354165756,1.3233158312646647,0.8299483266790735,2.1099684558468126,0.2392238410682097,7212,4124.680699079291,4062.680699079291
Model 2: + rainy-season source,C(region_n)[T.Bay],1.0100975389325413,0.22889544190847647,2.745868831070139,1.7532346843008848,4.3005056339328815,1.0198514279071903e-05,7212,4124.680699079291,4062.680699079291
Model 2: + rainy-season source,C(region_n)[T.Galgaduud],0.33440829149062523,0.2435795298810035,1.3971134566753882,0.8667474927913189,2.2520122954580084,0.1697860470875039,7212,4124.680699079291,4062.680699079291
Model 2: + rainy-season source,C(region_n)[T.Gedo],-0.8066779292702382,0.2996434684339157,0.4463383736652432,0.2480861715106357,0.8030191388462521,0.007099814696824036,7212,4124.680699079291,4062.680699079291
Model 2: + rainy-season source,C(region_n)[T.Hiraan],-1.025893082808222,0.29815189001147097,0.3584761734959346,0.1998334943894675,0.6430612013111074,0.0005799103813938063,7212,4124.680699079291,4062.680699079291
Model 2: + rainy-season source,C(region_n)[T.Lower Juba],0.5836545284073397,0.24493992243905716,1.7925775002617412,1.1091259585654918,2.8971768892693275,0.017179300494927136,7212,4124.680699079291,4062.680699079291
Model 2: + rainy-season source,C(region_n)[T.Lower Shabelle],-0.021334207364123406,0.24193030042501615,0.9788917570610363,0.6092554773525082,1.5727869632062783,0.9297310063619034,7212,4124.680699079291,4062.680699079291
Model 2: + rainy-season source,C(region_n)[T.Waqooyi Galbeed],-0.207112535846482,0.241166322534007,0.8129281612810292,0.5067190717803467,1.30417865086835,0.39045338891415227,7212,4124.680699079291,4062.680699079291
Model 2: + rainy-season source,C(region_n)[T.Middle Shabelle],-1.076108858434019,0.3177003289995127,0.34091951415321586,0.1829026009136039,0.635453594152909,0.0007061450811998351,7212,4124.680699079291,4062.680699079291
Model 2: + rainy-season source,C(region_n)[T.Mudug],-1.1172810627952865,0.336391762291789,0.3271681360207606,0.169210983961449,0.6325770746164173,0.0008957712539207553,7212,4124.680699079291,4062.680699079291
Model 2: + rainy-season source,C(region_n)[T.Nugaal],0.07715293381201502,0.3005617479813235,1.0802072639755411,0.5993268967600196,1.9469303638023598,0.7974136257014321,7212,4124.680699079291,4062.680699079291
Model 2: + rainy-season source,C(region_n)[T.Sanaag],0.938439095313178,0.23808871465365158,2.5559886483126135,1.6028530772997611,4.075905685197835,8.095601401181417e-05,7212,4124.680699079291,4062.680699079291
Model 2: + rainy-season source,C(region_n)[T.Sool],0.7987154051889584,0.26383402905910563,2.2226838456537528,1.325249453132166,3.727844192694387,0.0024671598909271277,7212,4124.680699079291,4062.680699079291
Model 2: + rainy-season source,C(region_n)[T.Togdheer],0.5835597732140587,0.23565028650760977,1.792407652281349,1.1293985243297977,2.8446337787303357,0.013272204866457268,7212,4124.680699079291,4062.680699079291
Model 2: + rainy-season source,"C(rain_family, Treatment(reference='Private piped'))[T.Delivered/vendor]",0.19646567302186216,0.15687117433243955,1.2170935410177357,0.8949371123831366,1.6552187489939696,0.21042364881784126,7212,4124.680699079291,4062.680699079291
Model 2: + rainy-season source,"C(rain_family, Treatment(reference='Private piped'))[T.Groundwater]",0.41847720421526735,0.13319691044579504,1.519645682725477,1.1704768849515739,1.9729761695565002,0.001679163463136124,7212,4124.680699079291,4062.680699079291
Model 2: + rainy-season source,"C(rain_family, Treatment(reference='Private piped'))[T.Other/social]",0.3202540521892556,0.7013825892016153,1.3774776711047796,0.3483819573042924,5.446449492029618,0.647955748264244,7212,4124.680699079291,4062.680699079291
Model 2: + rainy-season source,"C(rain_family, Treatment(reference='Private piped'))[T.Public network]",1.2981824233750465,0.1894560577908484,3.662633497012094,2.5265343716371067,5.309598905136865,7.274526884572479e-12,7212,4124.680699079291,4062.680699079291
Model 2: + rainy-season source,"C(rain_family, Treatment(reference='Private piped'))[T.Rain/surface]",2.4684320261948662,0.14225685802307556,11.803924090067785,8.931716417893924,15.599759039028791,1.9070437134778754e-67,7212,4124.680699079291,4062.680699079291
Model 2: + rainy-season source,hhsize,0.014254637597405013,0.015917882862320765,1.0143567194136265,0.9831983363459607,1.0465025378740327,0.37051404204141103,7212,4124.680699079291,4062.680699079291
Model 2: + rainy-season source,female_head,-0.0998865223620515,0.08913966156921573,0.9049401026749807,0.7598758160116111,1.077697924020905,0.2624743242530727,7212,4124.680699079291,4062.680699079291
Model 3: + road distance,Intercept,-3.0420728014227825,0.24599277223112306,0.04773583995767018,0.02947482897366321,0.0773103863808814,3.9667144818696115e-35,6725,3669.4975054002953,3605.4975054002953
Model 3: + road distance,"C(livelihood, Treatment(reference='Other'))[T.Agriculture only]",0.1216920607621489,0.24675388589053254,1.129406259723115,0.6963202775611271,1.8318560303448586,0.6218911939420273,6725,3669.4975054002953,3605.4975054002953
Model 3: + road distance,"C(livelihood, Treatment(reference='Other'))[T.Livestock only]",0.4328612259007631,0.12282601530565786,1.5416622630632024,1.2118186356555996,1.9612856770991451,0.00042479244671136333,6725,3669.4975054002953,3605.4975054002953
