model,term,beta,SE,OR,lower95_model_based,upper95_model_based,p_model_based,N,AIC,deviance
Unweighted,"C(rain_family, Treatment(reference='Private piped'))[T.Delivered/vendor]",0.1212105465331686,0.1572621041041739,1.1288625654475288,0.8294245121668554,1.5364034616478985,0.4408521893663011,7212,4525.2262258277915,4463.2262258277915
Unweighted,"C(rain_family, Treatment(reference='Private piped'))[T.Groundwater]",0.34335092128268124,0.13229784966282349,1.4096633560126204,1.0876801614312295,1.8269624175823538,0.009451189660702315,7212,4525.2262258277915,4463.2262258277915
Unweighted,"C(rain_family, Treatment(reference='Private piped'))[T.Other/social]",0.4534416388030996,0.544529148787699,1.573719048460859,0.5412708422309469,4.57551275675746,0.40500128848465233,7212,4525.2262258277915,4463.2262258277915
Unweighted,"C(rain_family, Treatment(reference='Private piped'))[T.Public network]",0.9382483244122098,0.18396308648560747,2.5555010865630865,1.7819008270676286,3.6649546956954513,3.392968063854574e-07,7212,4525.2262258277915,4463.2262258277915
Unweighted,"C(rain_family, Treatment(reference='Private piped'))[T.Rain/surface]",2.433016134906676,0.1329187206893437,11.393193718998528,8.780167126331552,14.783871565422173,7.613122558498843e-75,7212,4525.2262258277915,4463.2262258277915
Unweighted,hhsize,-0.01295604389392542,0.015148125864157059,0.987127524348837,0.9582501956112331,1.0168750852229318,0.39239050077144877,7212,4525.2262258277915,4463.2262258277915
Unweighted,female_head,-0.04208668901081923,0.08463036951638331,0.9587866607025439,0.8122377279455384,1.1317768543777538,0.6189774596868691,7212,4525.2262258277915,4463.2262258277915
No region controls,Intercept,-3.113594570216208,0.15701903531948253,0.044440921872677196,0.03266824154951307,0.06045613241533157,1.6598058351894763e-87,7212,4406.4552967666605,4376.4552967666605
No region controls,"C(livelihood, Treatment(reference='Other'))[T.Agriculture only]",-0.01831193940269233,0.22668397177211597,0.9818547054127253,0.6296365542538279,1.5311033897699544,0.9356154817929675,7212,4406.4552967666605,4376.4552967666605
No region controls,"C(livelihood, Treatment(reference='Other'))[T.Livestock only]",0.47474672423882314,0.10792311227261986,1.6076069780375162,1.3011095808896516,1.9863047923048847,1.0878354637881903e-05,7212,4406.4552967666605,4376.4552967666605
No region controls,"C(livelihood, Treatment(reference='Other'))[T.Mixed crop-livestock]",0.45739326141581277,0.1517659064073675,1.5799500955036974,1.1734311745399604,2.1273018464511013,0.0025799125268446484,7212,4406.4552967666605,4376.4552967666605
No region controls,"C(ea_type_n, Treatment(reference='Urban'))[T.Rural]",-0.10886687100785561,0.10938821282115958,0.8968498062618188,0.7237800231895217,1.11130391724178,0.3196224583857764,7212,4406.4552967666605,4376.4552967666605
No region controls,"C(ea_type_n, Treatment(reference='Urban'))[T.Nomadic]",-0.07320213019901085,0.1403056591283826,0.9294129486139122,0.7059568078164429,1.2235995453078867,0.6018560573962988,7212,4406.4552967666605,4376.4552967666605
No region controls,"C(school_cat, Treatment(reference='Never attended'))[T.Ever attended]",0.025034137712924634,0.0955001290049936,1.02535012303512,0.8503169512850995,1.2364129319299375,0.7932156573421157,7212,4406.4552967666605,4376.4552967666605
